Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
527,2,1.000,1.000,1.000,0.1667,0.308538,"YIL101C YGL131C"
528,2,1.000,1.000,1.000,0.1667,0.308538,"YNL052W YGL187C"
529,3,0.6667,2.000,0.000,0.2500,0.0296732,"YDR147W YHR087W YIL162W"
530,3,1.000,3.000,0.000,0.3333,0.0234271,"YDR279W YLR154C YNL072W"
531,2,1.000,1.000,1.000,0.1667,0.308538,"YPR114W YDR266C"
532,2,1.000,1.000,1.000,0.1667,0.308538,"YOR142W YGR244C"
533,2,1.000,1.000,1.000,0.1667,0.308538,"YDR453C YML028W"
534,3,0.6667,2.000,0.000,0.2500,0.0296732,"YER007C-A YJR014W YOR028C"
535,3,0.6667,2.000,0.000,0.2500,0.0296732,"YGL044C YMR061W YOR250C"
536,3,0.6667,2.000,0.000,0.2500,0.0296732,"YGL111W YNL082W YOR380W"
537,3,0.6667,2.000,7.000,0.1333,0.880704,"YNL206C YGL253W YOL097C"
538,3,0.6667,2.000,1.000,0.2222,0.0786496,"YGR071C YPL128C YLR373C"
539,4,0.5000,3.000,10.00,0.1429,0.672384,"YGR237C YML056C YIL154C YGR062C"
540,2,1.000,1.000,5.000,0.1000,0.933193,"YOR052C YBL055C"
541,3,1.000,3.000,0.000,0.3333,0.0234271,"YHR085W YHR197W YNL182C"
542,3,0.6667,2.000,0.000,0.2500,0.0296732,"YBR186W YHR104W YGL006W"
543,3,0.6667,2.000,0.000,0.2500,0.0296732,"YDR267C YHR122W YIL128W"
544,3,0.6667,2.000,2.000,0.2000,0.246781,"YHR137W YGR256W YHR183W"
545,3,0.6667,2.000,0.000,0.2500,0.0296732,"YBL014C YJL025W YML043C"
546,4,0.5000,3.000,1.000,0.2500,0.0235287,"YJL070C YML035C YNR016C YMR207C"
547,4,0.5000,3.000,2.000,0.2308,0.0431794,"YKL005C YBR275C YLR382C YDL173W"
548,4,0.5000,3.000,8.000,0.1579,0.862433,"YML093W YPR067W YGL195W YCR072C"
549,4,0.5000,3.000,10.00,0.1429,0.267852,"YKL210W YAL012W YLR084C YOR184W"
550,2,1.000,1.000,1.000,0.1667,0.308538,"YLR146C YPR069C"
551,3,0.6667,2.000,3.000,0.1818,0.406832,"YLR153C YPR074C YBR117C"
552,2,1.000,1.000,1.000,0.1667,0.308538,"YLR113W YLR248W"
553,2,1.000,1.000,2.000,0.1429,1.00000,"YPL183C YBR061C"
554,3,0.6667,2.000,0.000,0.2500,0.0296732,"YMR074C YNL256W YEL021W"
555,3,0.6667,2.000,0.000,0.2500,0.0296732,"YER153C YNL274C YKR103W"
556,3,0.6667,2.000,0.000,0.2500,0.0296732,"YCL004W YOL028C YPR054W"
557,3,0.6667,2.000,0.000,0.2500,0.0296732,"YIL169C YOR334W YPR151C"
558,2,1.000,1.000,1.000,0.1667,0.308538,"YDR322C-A YOR335C"
559,3,0.6667,2.000,0.000,0.2500,0.0296732,"YLR447C YOR270C YOR112W"
560,4,0.5000,3.000,15.00,0.1154,0.267852,"YAL043C YAL046C YBL101C YLR303W"
561,2,1.000,1.000,1.000,0.1667,0.308538,"YAL059W YMR124W"
562,2,1.000,1.000,0.000,0.2000,0.0969654,"YAL060W YAL061W"
563,3,0.6667,2.000,1.000,0.2222,0.0786496,"YBL039C YGL022W YGR124W"
564,5,0.5000,5.000,13.00,0.1786,0.738391,"YJL098W YDR293C YER033C YKR028W YDL047W"
565,4,0.5000,3.000,2.000,0.2308,0.0846010,"YBL056W YLR240W YDR071C YER089C"
566,7,0.5714,12.00,11.00,0.3243,0.0289115,"YBL071W-A YAL020C YLR384C YHR187W YGR200C YPL086C YPL101W"
567,4,0.5000,3.000,22.00,0.09091,0.678853,"YBR193C YBL082C YGR116W YOR192C"
568,4,0.5000,3.000,21.00,0.09375,0.267852,"YOR174W YKR067W YMR287C YOR349W"
569,3,0.6667,2.000,2.000,0.2000,0.246781,"YBR017C YOR374W YLR426W"
570,5,0.5000,5.000,16.00,0.1613,0.664799,"YER151C YMR173W YOL109W YBR067C YMR118C"
571,2,1.000,1.000,5.000,0.1000,0.658454,"YLR055C YDR406W"
572,2,1.000,1.000,0.000,0.2000,0.0969654,"YBL005W YBR149W"
573,17,0.5147,70.00,80.00,0.3804,0.0263366,"YDL078C YPR110C YOL021C YPR187W YNL113W YDL150W YJL011C YOR207C YNR003C YDR045C YKL144C YKL179C YKR025W YNL151C YOR116C YPR190C YDR005C"
574,2,1.000,1.000,0.000,0.2000,0.0969654,"YBR194W YPR152C"
575,2,1.000,1.000,2.000,0.1429,0.658454,"YDR221W YBR229C"
576,2,1.000,1.000,0.000,0.2000,0.0969654,"YBR260C YGR196C"
577,19,0.5088,87.00,53.00,0.4888,1.84313e-05,"YGL112C YMR223W YDR176W YCR082W YDR167W YGL066W YPL047W YDR145W YDR392W YBR081C YBR198C YLR055C YOL148C YDR448W YGR252W YPL254W YCL010C YDR208W YOR023C"
578,5,0.5000,5.000,2.000,0.2941,0.00851093,"YCL016C YHR191C YMR078C YPL023C YGL125W"
579,4,0.5000,3.000,25.00,0.08333,0.851258,"YIL069C YIL126W YBR044C YFL033C"
580,4,0.5000,3.000,18.00,0.1034,0.267852,"YMR091C YEL047C YBR161W YCL044C"
581,4,0.6667,4.000,6.000,0.2222,0.326587,"YCR081W YDR443C YPL042C YHR067W"
582,5,0.5000,5.000,8.000,0.2174,0.222354,"YCR086W YDR409W YGR126W YDR439W YLL029W"
583,4,0.5000,3.000,23.00,0.08824,0.500000,"YGL048C YMR016C YGL004C YGL141W"
584,4,0.5000,3.000,25.00,0.08333,0.144070,"YHR027C YER041W YLR341W YOL022C"
585,8,0.5357,15.00,36.00,0.2239,0.241169,"YDL043C YMR240C YMR288W YML049C YDL030W YDR482C YJL203W YLR011W"
586,5,0.5000,5.000,19.00,0.1471,0.335201,"YKR025W YNL151C YDR005C YDL144C YFR008W"
587,4,0.5000,3.000,2.000,0.2308,0.0846010,"YGR173W YAR019C YDL220C YOL061W"
588,4,0.5000,3.000,1.000,0.2500,0.0288898,"YDL093W YDR139C YOR100C YOR216C"
589,5,0.5000,5.000,15.00,0.1667,0.413573,"YCR082W YGR252W YOR023C YDL059C YBR066C"
590,4,0.5000,3.000,19.00,0.1000,0.440842,"YNL317W YBR166C YAL031C YBL010C"
591,2,1.000,1.000,0.000,0.2000,0.0969654,"YDR353W YHR106W"
592,2,1.000,1.000,0.000,0.2000,0.0969654,"YDR372C YLR149C"
593,2,1.000,1.000,0.000,0.2000,0.0969654,"YBR098W YDR386W"
594,2,1.000,1.000,0.000,0.2000,0.0969654,"YDR390C YPR180W"
595,2,1.000,1.000,0.000,0.2000,0.0969654,"YDR397C YER159C"
596,2,1.000,1.000,0.000,0.2000,0.0969654,"YDR425W YJL036W"
597,6,0.5333,8.000,28.00,0.1667,0.279087,"YDR308C YLR071C YCR081W YDR443C YPL042C YNL025C"
598,2,1.000,1.000,0.000,0.2000,0.0969654,"YDL008W YER047C"
599,3,0.6667,2.000,2.000,0.2000,0.150850,"YER070W YIL066C YJL026W"
600,2,1.000,1.000,0.000,0.2000,0.0969654,"YDR226W YER078C"
601,2,1.000,1.000,0.000,0.2000,0.0969654,"YER081W YIL074C"
602,4,0.6667,4.000,4.000,0.2500,0.150261,"YNR034W YLR028C YBR228W YMR120C"
603,3,0.6667,2.000,3.000,0.1818,0.406832,"YGL195W YFR009W YHL039W"
604,2,1.000,1.000,0.000,0.2000,0.0969654,"YFL018C YFR049W"
605,2,1.000,1.000,0.000,0.2000,0.0969654,"YBR045C YGL057C"
606,2,1.000,1.000,0.000,0.2000,0.0969654,"YGL086W YJL030W"
607,4,0.5000,3.000,6.000,0.1765,0.560306,"YNL247W YDL131W YGL097W YLR293C"
608,2,1.000,1.000,0.000,0.2000,0.0969654,"YGL110C YKR023W"
609,4,0.5000,3.000,6.000,0.1765,0.267852,"YKR022C YLL062C YCL047C YIL007C"
610,2,1.000,1.000,0.000,0.2000,0.0969654,"YGL155W YKL019W"
611,2,1.000,1.000,1.000,0.1667,0.308538,"YOR101W YNL098C"
612,2,1.000,1.000,0.000,0.2000,0.0969654,"YGR010W YLR328W"
613,5,0.6000,6.000,6.000,0.2727,0.100128,"YAL021C YDR252W YGR134W YJR011C YPL268W"
614,4,0.5000,3.000,12.00,0.1304,0.672384,"YPL002C YBR025C YOL142W YJR051W"
615,4,0.5000,3.000,4.000,0.2000,0.214598,"YIL108W YNL068C YNL254C YMR149W"
616,2,1.000,1.000,1.000,0.1667,0.308538,"YOR018W YGR248W"
617,4,0.5000,3.000,3.000,0.2143,0.176448,"YPL031C YPL219W YER059W YLR190W"
618,2,1.000,1.000,0.000,0.2000,0.0969654,"YGR277C YPL060W"
619,2,1.000,1.000,0.000,0.2000,0.0969654,"YDR170C YHR201C"
620,4,0.5000,3.000,1.000,0.2500,0.0288898,"YDR332W YJL107C YJR091C YOR265W"
621,2,1.000,1.000,0.000,0.2000,0.0969654,"YJL217W YPR118W"
622,2,1.000,1.000,1.000,0.1667,0.308538,"YPL161C YPR198W"
623,3,0.6667,2.000,3.000,0.1818,0.326548,"YJL130C YJR109C YOR303W"
624,2,1.000,1.000,1.000,0.1667,0.308538,"YKL041W YLR025W"
625,3,0.6667,2.000,1.000,0.2222,0.0786496,"YKL093W YJL118W YLR273C"
626,2,1.000,1.000,1.000,0.1667,0.308538,"YDL069C YKL164C"
627,3,0.6667,2.000,1.000,0.2222,0.0786496,"YDR023W YKR071C YPR048W"
628,2,1.000,1.000,0.000,0.2000,0.0969654,"YKL074C YLR116W"
629,2,1.000,1.000,0.000,0.2000,0.0969654,"YLR194C YNL050C"
630,2,1.000,1.000,0.000,0.2000,0.0969654,"YAL044C YLR239C"
631,2,1.000,1.000,0.000,0.2000,0.0969654,"YBL078C YLR295C"
632,3,0.6667,2.000,1.000,0.2222,0.0786496,"YNR046W YML014W YOL124C"
633,2,1.000,1.000,0.000,0.2000,0.0969654,"YGR142W YMR144W"
634,2,1.000,1.000,0.000,0.2000,0.0969654,"YMR200W YOR021C"
635,2,1.000,1.000,0.000,0.2000,0.0969654,"YDR263C YMR291W"
636,2,1.000,1.000,0.000,0.2000,0.0969654,"YDR287W YNL035C"
637,4,0.5000,3.000,2.000,0.2308,0.0846010,"YBR221C YNL071W YDL239C YER178W"
638,2,1.000,1.000,1.000,0.1667,0.308538,"YOR108W YNL104C"
639,2,1.000,1.000,0.000,0.2000,0.0969654,"YCR102C YNL134C"
640,2,1.000,1.000,1.000,0.1667,0.308538,"YOL108C YDR123C"
641,2,1.000,1.000,0.000,0.2000,0.0969654,"YGL164C YOR185C"
642,3,0.6667,2.000,5.000,0.1538,0.749908,"YOR196C YJL129C YMR116C"
643,2,1.000,1.000,0.000,0.2000,0.0969654,"YDR079C-A YPL122C"
644,2,1.000,1.000,0.000,0.2000,0.0969654,"YGL130W YPL228W"
645,2,1.000,1.000,0.000,0.2000,0.0969654,"YCL045C YLR312C"
646,2,1.000,1.000,1.000,0.1667,0.308538,"YDR189W YLR026C"
647,2,1.000,1.000,0.000,0.2000,0.0969654,"YDR532C YGL093W"
648,4,0.5000,3.000,8.000,0.1579,0.558790,"YEL054C YDL047W YLR097C YOR293W"
649,2,1.000,1.000,0.000,0.2000,0.0969654,"YLR057W YMR289W"
650,2,1.000,1.000,0.000,0.2000,0.0969654,"YDR313C YLR083C"
651,2,1.000,1.000,0.000,0.2000,0.0969654,"YJL082W YMR029C"
652,2,1.000,1.000,0.000,0.2000,0.0969654,"YMR064W YMR098C"
653,2,1.000,1.000,0.000,0.2000,0.0969654,"YMR105C YOR090C"
654,2,1.000,1.000,0.000,0.2000,0.0969654,"YDR142C YJR012C"
